,번호,상품명,이미지경로
0,1,시크릿밴드 롱 루즈 와이드 데님,./상품이미지/바지/데님팬츠/시크릿밴드 롱 루즈 와이드 데님1.jpg
1,2,딥워싱 브러쉬 루즈핏 와이드 스트레이트 데님,./상품이미지/바지/데님팬츠/딥워싱 브러쉬 루즈핏 와이드 스트레이트 데님1.jpg
2,3,NOI024 스트레이트 루즈핏 데님 팬츠,./상품이미지/바지/데님팬츠/NOI024 스트레이트 루즈핏 데님 팬츠1.jpg
3,4,BUCKLE WIDE DENIM PANTS BLACK,./상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS BLACK1.jpg
4,5,가을용 커버밴드 이염없는 생지 와이드루즈 데님,./상품이미지/바지/데님팬츠/가을용 커버밴드 이염없는 생지 와이드루즈 데님1.jpg
5,6,커버밴드 와이드 루즈 데미지워싱 데님,./상품이미지/바지/데님팬츠/커버밴드 와이드 루즈 데미지워싱 데님1.jpg
6,7,커버밴드 보이핏 스트레이트 컷팅 데님,./상품이미지/바지/데님팬츠/커버밴드 보이핏 스트레이트 컷팅 데님1.jpg
7,8,BUCKLE WIDE DENIM PANTS BLUE,./상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS BLUE1.jpg
8,9,BUCKLE WIDE DENIM PANTS SELVAGEBLACK,./상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS SELVAGEBLACK1.jpg
9,10,우먼즈 와이드 데님 팬츠,./상품이미지/바지/데님팬츠/우먼즈 와이드 데님 팬츠1.jpg
10,11,가을용 커버밴드 이염없는 생지 와이드루즈 데님 U,./상품이미지/바지/데님팬츠/가을용 커버밴드 이염없는 생지 와이드루즈 데님69.jpg
11,12,커버밴드 와이드 루즈 데미지워싱 데님 J,./상품이미지/바지/데님팬츠/커버밴드 와이드 루즈 데미지워싱 데님92.jpg
12,13,카펜터 카고 팬츠 블랙,./상품이미지/바지/데님팬츠/카펜터 카고 팬츠 블랙1.jpg
13,14,와이드 스트레이트 데님,./상품이미지/바지/데님팬츠/와이드 스트레이트 데님1.jpg
